commodity,target_date,as_of_date,month_sin,month_cos,lag1_mom_pct,lag2_mom_pct,lag3_mom_pct,lag12_mom_pct,fuel_mom_pct,fx_mom_pct,is_harvest_month,is_lean_month,is_import,n_history_months,source,target_mom_pct
Agric Hen Eggs (Crate of 30 Pieces),2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,3.2032583442268336
Beans Brown,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,4.634457232606026
Beef Boneless,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,2.5931274103122126
Garri White,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,0.6357558562245291
Goat Meat Bone-In,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,2.340447608906726
Maize White Grain,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,2.476383198260912
Onions Fresh,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,1,0,0,1,WB_RTFP,1.6092667903146118
Rice Long-Grain Imported,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,,0,0,1,1,WB_RTFP,0.8902671661897621
Yam Tuber,2007-02-01,2007-01-01,0.8660254037844386,0.5000000000000001,,,,,,0.0,0,0,0,1,WB_RTFP,4.414025041470659
Agric Hen Eggs (Crate of 30 Pieces),2007-03-01,2007-02-01,1.0,6.123233995736766e-17,3.2032583442268336,,,,,0.0,0,1,0,2,WB_RTFP,-0.5679755204763159
Beans Brown,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,4.634457232606026,,,,,0.0,0,0,0,2,WB_RTFP,0.29009375909059276
Beef Boneless,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,2.5931274103122126,,,,,0.0,0,0,0,2,WB_RTFP,-0.3861612322798247
Garri White,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,0.6357558562245291,,,,,0.0,0,1,0,2,WB_RTFP,-5.461186662231066
Goat Meat Bone-In,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,2.340447608906726,,,,,0.0,0,0,0,2,WB_RTFP,-0.4244453483614352
Maize White Grain,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,2.476383198260912,,,,,0.0,0,0,0,2,WB_RTFP,-3.377486680678421
Onions Fresh,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,1.6092667903146118,,,,,0.0,0,0,0,2,WB_RTFP,-2.671031863986706
Rice Long-Grain Imported,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,0.8902671661897621,,,,,,0,0,1,2,WB_RTFP,-3.5285489249152313
Yam Tuber,2007-03-01,2007-02-01,1.0,6.123233995736766e-17,4.414025041470659,,,,,0.0,0,1,0,2,WB_RTFP,-0.4953266065252371
Agric Hen Eggs (Crate of 30 Pieces),2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-0.5679755204763159,3.2032583442268336,,,,0.0,0,1,0,3,WB_RTFP,3.1052334408410376
Beans Brown,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,0.29009375909059276,4.634457232606026,,,,0.0,0,1,0,3,WB_RTFP,11.265223576619011
Beef Boneless,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-0.3861612322798247,2.5931274103122126,,,,0.0,0,0,0,3,WB_RTFP,3.7011014617913007
Garri White,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-5.461186662231066,0.6357558562245291,,,,0.0,0,1,0,3,WB_RTFP,10.491613320584792
Goat Meat Bone-In,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-0.4244453483614352,2.340447608906726,,,,0.0,0,0,0,3,WB_RTFP,3.4109456451183684
Maize White Grain,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-3.377486680678421,2.476383198260912,,,,0.0,0,0,0,3,WB_RTFP,3.3957237285849207
Onions Fresh,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-2.671031863986706,1.6092667903146118,,,,0.0,0,0,0,3,WB_RTFP,1.6113283350324137
Rice Long-Grain Imported,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-3.5285489249152313,0.8902671661897621,,,,,0,0,1,3,WB_RTFP,1.1127023095108157
Yam Tuber,2007-04-01,2007-03-01,0.8660254037844387,-0.4999999999999998,-0.4953266065252371,4.414025041470659,,,,0.0,0,1,0,3,WB_RTFP,2.3023550212720734
Agric Hen Eggs (Crate of 30 Pieces),2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,3.1052334408410376,-0.5679755204763159,3.2032583442268336,,,0.0,0,1,0,4,WB_RTFP,1.1254903426724194
Beans Brown,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,11.265223576619011,0.29009375909059276,4.634457232606026,,,0.0,0,1,0,4,WB_RTFP,2.310840955523008
Beef Boneless,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,3.7011014617913007,-0.3861612322798247,2.5931274103122126,,,0.0,0,0,0,4,WB_RTFP,0.4966154945111212
