commodity,month,month_name,is_harvest_month,is_lean_month,harvest_months,lean_months,notes
Maize White Grain,1,January,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,2,February,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,3,March,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,4,April,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,5,May,0,1,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,6,June,0,1,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,7,July,0,1,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,8,August,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,9,September,1,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,10,October,1,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,11,November,1,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Maize White Grain,12,December,0,0,"9,10,11","5,6,7",Main harvest Oct-Nov; minor harvest Mar-Apr in irrigated north
Rice Local Short-Grain,1,January,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,2,February,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,3,March,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,4,April,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,5,May,0,1,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,6,June,0,1,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,7,July,0,1,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,8,August,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,9,September,0,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,10,October,1,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,11,November,1,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Short-Grain,12,December,1,0,"10,11,12","5,6,7",Main harvest Nov-Dec post-rainy season
Rice Local Broken,1,January,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,2,February,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,3,March,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,4,April,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,5,May,0,1,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,6,June,0,1,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,7,July,0,1,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,8,August,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,9,September,0,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,10,October,1,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,11,November,1,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
Rice Local Broken,12,December,1,0,"10,11,12","5,6,7",Same cycle as local short-grain rice
