date,year,month,month_name,closing_rate,highest_rate,lowest_rate,weighted_avg_rate,simple_avg_rate,total_deals
2024-12-02,2024,12,December,1660.0,1678.0,1650.0,1661.1225,1662.7719,0
2024-12-03,2024,12,December,1625.0,1664.0,1623.0,1643.1507,1644.7799,0
2024-12-04,2024,12,December,1608.0,1630.0,1590.0,1613.6946,1613.86,0
2024-12-05,2024,12,December,1567.0,1610.0,1565.0,1588.7939,1587.2944,0
2024-12-06,2024,12,December,1535.0,1575.0,1510.0,1533.7598,1533.9388,0
2024-12-09,2024,12,December,1538.5,1554.0,1524.5,1534.6771,1533.9786,0
2024-12-10,2024,12,December,1525.0,1560.0,1500.0,1532.1057,1533.4912,0
2024-12-11,2024,12,December,1545.0,1557.0,1515.0,1533.0936,1537.1239,0
2024-12-12,2024,12,December,1532.0,1550.0,1515.0,1534.6011,1535.6788,0
2024-12-13,2024,12,December,1540.0,1549.0,1520.0,1533.2747,1534.0303,0
2024-12-16,2024,12,December,1550.0,1555.0,1520.0,1533.5669,1536.7541,0
2024-12-17,2024,12,December,1540.0,1555.0,1522.0,1534.1055,1536.3403,0
2024-12-18,2024,12,December,1545.0,1565.0,1531.0,1538.878,1541.4846,0
2024-12-19,2024,12,December,1540.0,1550.0,1531.0,1537.4253,1538.6333,0
2024-12-20,2024,12,December,1542.0,1570.0,1532.0,1536.9275,1538.8851,0
2024-12-23,2024,12,December,1538.0,1545.0,1532.0,1535.7157,1537.0368,0
2024-12-24,2024,12,December,1537.0,1545.0,1533.0,1538.5728,1539.2254,0
2024-12-27,2024,12,December,1535.0,1550.0,1532.0,1538.3917,1539.8733,0
2024-12-30,2024,12,December,1537.0,1540.25,1533.0,1536.917,1536.9817,0
2024-12-31,2024,12,December,1535.0,1550.0,1520.0,1535.8175,1536.5068,0
2025-01-02,2025,1,January,1538.5,1545.0,1538.0,1541.3611,1540.65,0
2025-01-03,2025,1,January,1535.0,1540.0,1531.0,1534.5585,1535.0082,0
2025-01-06,2025,1,January,1536.0,1537.5,1530.0,1533.6065,1533.7692,0
2025-01-07,2025,1,January,1538.0,1543.0,1531.0,1534.1643,1534.7808,0
2025-01-08,2025,1,January,1545.0,1545.0,1537.0,1539.3976,1539.0714,0
2025-01-09,2025,1,January,1542.0,1551.0,1535.0,1541.0559,1541.9874,0
2025-01-10,2025,1,January,1544.5,1548.0,1538.0,1542.0256,1542.9021,0
2025-01-13,2025,1,January,1550.0,1550.0,1543.0,1546.853,1546.9856,0
2025-01-14,2025,1,January,1549.0,1560.0,1545.0,1547.6695,1550.7021,0
2025-01-15,2025,1,January,1550.0,1554.0,1546.75,1549.2019,1550.1174,0
2025-01-16,2025,1,January,1560.0,1559.0,1545.0,1549.95,1551.05,0
2025-01-17,2025,1,January,1548.0,1552.0,1540.2,1546.7212,1547.08,0
2025-01-20,2025,1,January,1551.0,1551.5,1545.0,1547.9989,1548.7045,0
2025-01-21,2025,1,January,1555.0,1555.0,1548.4,1551.2508,1551.3765,0
2025-01-22,2025,1,January,1553.0,1565.0,1550.0,1551.9172,1552.3344,0
2025-01-23,2025,1,January,1548.5,1558.0,1548.0,1550.4787,1550.6159,0
2025-01-24,2025,1,January,1531.0,1550.0,1515.0,1533.263,1531.8946,0
2025-01-27,2025,1,January,1533.5,1537.0,1530.0,1534.5483,1534.4464,0
2025-01-28,2025,1,January,1520.0,1538.0,1520.0,1527.3959,1526.9589,0
2025-01-29,2025,1,January,1506.0,1520.0,1500.0,1508.4,1508.75,0
2025-01-30,2025,1,January,1493.0,1517.0,1490.0,1500.7785,1508.7017,0
2025-01-31,2025,1,January,1475.0,1499.0,1440.0,1478.22,1477.99,0
2025-02-03,2025,2,February,1499.0,1500.0,1480.0,1488.99,1491.25,0
2025-02-03,2025,2,February,1499.0,1500.0,1480.0,1488.99,1491.25,0
2025-02-04,2025,2,February,1499.0,1502.0,1494.0,1497.41,1497.72,0
2025-02-05,2025,2,February,1500.0,1501.0,1495.0,1499.14,1499.02,0
2025-02-06,2025,2,February,1502.0,1507.0,1495.5,1499.982,1500.0,0
2025-02-07,2025,2,February,1502.5,1503.0,1496.0,1500.41,1500.58,0
