date,year,month,month_name,national_avg_pms_ngn,mom_pct,yoy_pct
2024-11-01,2024,11,November,1214.17,2.4765,87.102
2024-12-01,2024,12,December,1189.12,-2.0628,76.9899
2025-01-01,2025,1,January,1258.34,5.8214,88.2914
2025-02-01,2025,2,February,1245.8,-0.9968,83.3774
2025-03-01,2025,3,March,1261.65,1.2718,81.0661
2025-04-01,2025,4,April,1239.33,-1.769,76.7325
2025-05-01,2025,5,May,1027.76,-17.0713,33.5414
2025-06-01,2025,6,June,1037.66,0.9635,38.3228
2025-07-01,2025,7,July,1024.99,-1.2207,33.0224
2025-08-01,2025,8,August,988.25,-3.5844,19.0014
2025-09-01,2025,9,September,970.59,-1.7875,-5.8105
2025-10-01,2025,10,October,1052.31,8.42,-11.1843
2025-11-01,2025,11,November,1061.35,0.8589,-12.5862
2025-12-01,2025,12,December,1048.63,-1.1987,-11.815
2026-01-01,2026,1,January,1034.76,-1.3228,-17.7685
2026-02-01,2026,2,February,1051.47,1.6155,-15.5987
2026-03-01,2026,3,March,1288.54,22.5465,2.1318
2026-04-01,2026,4,April,1532.93,18.9659,23.6902
