date,year,month,month_name,state,zone,pms_price_ngn
2024-11-01,2024,11,November,Abia,South East,1260.66
2024-12-01,2024,12,December,Abia,South East,1224.67
2025-01-01,2025,1,January,Abia,South East,1308.26
2025-02-01,2025,2,February,Abia,South East,1272.0
2025-03-01,2025,3,March,Abia,South East,1305.0
2025-04-01,2025,4,April,Abia,South East,1227.15
2025-05-01,2025,5,May,Abia,South East,1059.02
2025-06-01,2025,6,June,Abia,South East,1041.28
2025-07-01,2025,7,July,Abia,South East,1025.75
2025-08-01,2025,8,August,Abia,South East,975.0
2025-09-01,2025,9,September,Abia,South East,1000.25
2025-10-01,2025,10,October,Abia,South East,1012.5
2025-11-01,2025,11,November,Abia,South East,1040.42
2025-12-01,2025,12,December,Abia,South East,1032.12
2026-01-01,2026,1,January,Abia,South East,1054.25
2026-02-01,2026,2,February,Abia,South East,1095.19
2026-03-01,2026,3,March,Abia,South East,1247.84
2026-04-01,2026,4,April,Abia,South East,1557.39
2024-11-01,2024,11,November,Abuja,North Central,1230.56
2024-12-01,2024,12,December,Abuja,North Central,1102.25
2025-01-01,2025,1,January,Abuja,North Central,1182.0
2025-02-01,2025,2,February,Abuja,North Central,1166.0
2025-03-01,2025,3,March,Abuja,North Central,1149.41
2025-04-01,2025,4,April,Abuja,North Central,1180.42
2025-05-01,2025,5,May,Abuja,North Central,1029.8
2025-06-01,2025,6,June,Abuja,North Central,1050.36
2025-07-01,2025,7,July,Abuja,North Central,1033.69
2025-08-01,2025,8,August,Abuja,North Central,1009.92
2025-09-01,2025,9,September,Abuja,North Central,962.69
2025-10-01,2025,10,October,Abuja,North Central,1039.17
2025-11-01,2025,11,November,Abuja,North Central,1065.74
2025-12-01,2025,12,December,Abuja,North Central,1033.78
2026-01-01,2026,1,January,Abuja,North Central,959.61
2026-02-01,2026,2,February,Abuja,North Central,1006.33
2026-03-01,2026,3,March,Abuja,North Central,1268.49
2026-04-01,2026,4,April,Abuja,North Central,1553.75
2024-11-01,2024,11,November,Adamawa,North East,1319.85
2024-12-01,2024,12,December,Adamawa,North East,1301.33
2025-01-01,2025,1,January,Adamawa,North East,1350.0
2025-02-01,2025,2,February,Adamawa,North East,1400.0
2025-03-01,2025,3,March,Adamawa,North East,1400.0
2025-04-01,2025,4,April,Adamawa,North East,1370.0
2025-05-01,2025,5,May,Adamawa,North East,1053.4
2025-06-01,2025,6,June,Adamawa,North East,1083.4
2025-07-01,2025,7,July,Adamawa,North East,1063.4
2025-08-01,2025,8,August,Adamawa,North East,1025.26
2025-09-01,2025,9,September,Adamawa,North East,995.1
2025-10-01,2025,10,October,Adamawa,North East,1053.01
2025-11-01,2025,11,November,Adamawa,North East,1055.72
2025-12-01,2025,12,December,Adamawa,North East,1052.75
2026-01-01,2026,1,January,Adamawa,North East,1090.19
2026-02-01,2026,2,February,Adamawa,North East,1096.63
2026-03-01,2026,3,March,Adamawa,North East,1350.73
2026-04-01,2026,4,April,Adamawa,North East,1417.58
2024-11-01,2024,11,November,Akwa Ibom,South South,1203.93
2024-12-01,2024,12,December,Akwa Ibom,South South,1146.94
2025-01-01,2025,1,January,Akwa Ibom,South South,1287.5
2025-02-01,2025,2,February,Akwa Ibom,South South,1162.5
2025-03-01,2025,3,March,Akwa Ibom,South South,1184.06
2025-04-01,2025,4,April,Akwa Ibom,South South,1139.0
2025-05-01,2025,5,May,Akwa Ibom,South South,1033.41
2025-06-01,2025,6,June,Akwa Ibom,South South,1033.41
2025-07-01,2025,7,July,Akwa Ibom,South South,1033.41
2025-08-01,2025,8,August,Akwa Ibom,South South,973.51
2025-09-01,2025,9,September,Akwa Ibom,South South,957.14
2025-10-01,2025,10,October,Akwa Ibom,South South,1064.33
2025-11-01,2025,11,November,Akwa Ibom,South South,1064.33
2025-12-01,2025,12,December,Akwa Ibom,South South,1059.43
2026-01-01,2026,1,January,Akwa Ibom,South South,1112.78
2026-02-01,2026,2,February,Akwa Ibom,South South,1109.44
2026-03-01,2026,3,March,Akwa Ibom,South South,1301.52
2026-04-01,2026,4,April,Akwa Ibom,South South,1585.6
2024-11-01,2024,11,November,Anambra,South East,1270.75
2024-12-01,2024,12,December,Anambra,South East,1238.76
2025-01-01,2025,1,January,Anambra,South East,1080.0
2025-02-01,2025,2,February,Anambra,South East,1021.67
2025-03-01,2025,3,March,Anambra,South East,1142.45
2025-04-01,2025,4,April,Anambra,South East,1240.69
2025-05-01,2025,5,May,Anambra,South East,1084.13
2025-06-01,2025,6,June,Anambra,South East,1088.2
2025-07-01,2025,7,July,Anambra,South East,1016.53
2025-08-01,2025,8,August,Anambra,South East,1055.27
2025-09-01,2025,9,September,Anambra,South East,989.02
2025-10-01,2025,10,October,Anambra,South East,1068.24
2025-11-01,2025,11,November,Anambra,South East,1068.24
2025-12-01,2025,12,December,Anambra,South East,1066.6
2026-01-01,2026,1,January,Anambra,South East,980.79
2026-02-01,2026,2,February,Anambra,South East,1077.51
2026-03-01,2026,3,March,Anambra,South East,1441.22
2026-04-01,2026,4,April,Anambra,South East,1515.72
2024-11-01,2024,11,November,Bauchi,North East,1181.69
2024-12-01,2024,12,December,Bauchi,North East,1183.48
2025-01-01,2025,1,January,Bauchi,North East,1225.0
2025-02-01,2025,2,February,Bauchi,North East,1090.0
2025-03-01,2025,3,March,Bauchi,North East,1125.55
2025-04-01,2025,4,April,Bauchi,North East,1186.98
2025-05-01,2025,5,May,Bauchi,North East,1053.73
2025-06-01,2025,6,June,Bauchi,North East,1055.34
2025-07-01,2025,7,July,Bauchi,North East,1030.34
2025-08-01,2025,8,August,Bauchi,North East,977.35
2025-09-01,2025,9,September,Bauchi,North East,956.29
2025-10-01,2025,10,October,Bauchi,North East,1078.34
2025-11-01,2025,11,November,Bauchi,North East,1082.6
2025-12-01,2025,12,December,Bauchi,North East,1079.61
2026-01-01,2026,1,January,Bauchi,North East,967.01
2026-02-01,2026,2,February,Bauchi,North East,1005.45
2026-03-01,2026,3,March,Bauchi,North East,1290.47
2026-04-01,2026,4,April,Bauchi,North East,1589.07
2024-11-01,2024,11,November,Bayelsa,South South,1209.17
2024-12-01,2024,12,December,Bayelsa,South South,1161.88
2025-01-01,2025,1,January,Bayelsa,South South,1000.0
2025-02-01,2025,2,February,Bayelsa,South South,1000.0
2025-03-01,2025,3,March,Bayelsa,South South,1000.0
2025-04-01,2025,4,April,Bayelsa,South South,1185.9
2025-05-01,2025,5,May,Bayelsa,South South,1006.0
2025-06-01,2025,6,June,Bayelsa,South South,1006.0
2025-07-01,2025,7,July,Bayelsa,South South,1006.0
2025-08-01,2025,8,August,Bayelsa,South South,973.1
2025-09-01,2025,9,September,Bayelsa,South South,929.06
2025-10-01,2025,10,October,Bayelsa,South South,1073.91
2025-11-01,2025,11,November,Bayelsa,South South,1073.91
2025-12-01,2025,12,December,Bayelsa,South South,1058.08
2026-01-01,2026,1,January,Bayelsa,South South,968.89
2026-02-01,2026,2,February,Bayelsa,South South,1050.03
2026-03-01,2026,3,March,Bayelsa,South South,1252.48
2026-04-01,2026,4,April,Bayelsa,South South,1536.81
2024-11-01,2024,11,November,Benue,North Central,1365.16
2024-12-01,2024,12,December,Benue,North Central,1234.55
2025-01-01,2025,1,January,Benue,North Central,1411.11
2025-02-01,2025,2,February,Benue,North Central,1450.0
2025-03-01,2025,3,March,Benue,North Central,1451.69
2025-04-01,2025,4,April,Benue,North Central,1341.34
2025-05-01,2025,5,May,Benue,North Central,1009.31
2025-06-01,2025,6,June,Benue,North Central,1016.08
2025-07-01,2025,7,July,Benue,North Central,1021.08
2025-08-01,2025,8,August,Benue,North Central,1031.53
2025-09-01,2025,9,September,Benue,North Central,1096.97
2025-10-01,2025,10,October,Benue,North Central,1071.38
2025-11-01,2025,11,November,Benue,North Central,1080.92
2025-12-01,2025,12,December,Benue,North Central,1034.43
2026-01-01,2026,1,January,Benue,North Central,1059.49
2026-02-01,2026,2,February,Benue,North Central,1069.4
2026-03-01,2026,3,March,Benue,North Central,1303.68
2026-04-01,2026,4,April,Benue,North Central,1582.75
2024-11-01,2024,11,November,Borno,North East,1331.94
2024-12-01,2024,12,December,Borno,North East,1282.38
2025-01-01,2025,1,January,Borno,North East,1066.67
2025-02-01,2025,2,February,Borno,North East,1066.67
2025-03-01,2025,3,March,Borno,North East,1138.7
2025-04-01,2025,4,April,Borno,North East,1153.33
2025-05-01,2025,5,May,Borno,North East,1034.93
2025-06-01,2025,6,June,Borno,North East,1034.93
2025-07-01,2025,7,July,Borno,North East,1034.93
2025-08-01,2025,8,August,Borno,North East,1145.5
2025-09-01,2025,9,September,Borno,North East,1045.0
2025-10-01,2025,10,October,Borno,North East,1101.62
2025-11-01,2025,11,November,Borno,North East,1133.86
2025-12-01,2025,12,December,Borno,North East,1072.04
2026-01-01,2026,1,January,Borno,North East,1079.5
2026-02-01,2026,2,February,Borno,North East,1108.09
2026-03-01,2026,3,March,Borno,North East,1375.16
2026-04-01,2026,4,April,Borno,North East,1476.12
2024-11-01,2024,11,November,Cross River,South South,1218.54
2024-12-01,2024,12,December,Cross River,South South,1228.19
2025-01-01,2025,1,January,Cross River,South South,1483.33
2025-02-01,2025,2,February,Cross River,South South,1477.78
2025-03-01,2025,3,March,Cross River,South South,1563.86
2025-04-01,2025,4,April,Cross River,South South,1301.69
2025-05-01,2025,5,May,Cross River,South South,1000.55
2025-06-01,2025,6,June,Cross River,South South,1025.55
2025-07-01,2025,7,July,Cross River,South South,1013.05
2025-08-01,2025,8,August,Cross River,South South,998.53
2025-09-01,2025,9,September,Cross River,South South,964.11
2025-10-01,2025,10,October,Cross River,South South,1031.25
2025-11-01,2025,11,November,Cross River,South South,1047.44
2025-12-01,2025,12,December,Cross River,South South,1051.5
2026-01-01,2026,1,January,Cross River,South South,1171.77
2026-02-01,2026,2,February,Cross River,South South,1068.61
2026-03-01,2026,3,March,Cross River,South South,1365.02
2026-04-01,2026,4,April,Cross River,South South,1514.14
2024-11-01,2024,11,November,Delta,South South,1170.36
2024-12-01,2024,12,December,Delta,South South,1282.71
2025-01-01,2025,1,January,Delta,South South,1364.29
2025-02-01,2025,2,February,Delta,South South,1131.43
2025-03-01,2025,3,March,Delta,South South,1175.93
2025-04-01,2025,4,April,Delta,South South,1161.41
2025-05-01,2025,5,May,Delta,South South,1067.34
2025-06-01,2025,6,June,Delta,South South,1067.34
2025-07-01,2025,7,July,Delta,South South,1047.2
2025-08-01,2025,8,August,Delta,South South,951.37
2025-09-01,2025,9,September,Delta,South South,927.72
2025-10-01,2025,10,October,Delta,South South,1025.99
2025-11-01,2025,11,November,Delta,South South,1035.42
2025-12-01,2025,12,December,Delta,South South,1028.61
2026-01-01,2026,1,January,Delta,South South,1012.43
2026-02-01,2026,2,February,Delta,South South,1023.81
2026-03-01,2026,3,March,Delta,South South,1279.6
2026-04-01,2026,4,April,Delta,South South,1588.86
2024-11-01,2024,11,November,Ebonyi,South East,1287.57
2024-12-01,2024,12,December,Ebonyi,South East,1280.41
2025-01-01,2025,1,January,Ebonyi,South East,1133.33
2025-02-01,2025,2,February,Ebonyi,South East,1140.0
2025-03-01,2025,3,March,Ebonyi,South East,1186.35
2025-04-01,2025,4,April,Ebonyi,South East,1118.8
2025-05-01,2025,5,May,Ebonyi,South East,1060.18
2025-06-01,2025,6,June,Ebonyi,South East,1043.96
2025-07-01,2025,7,July,Ebonyi,South East,1043.96
2025-08-01,2025,8,August,Ebonyi,South East,1059.95
2025-09-01,2025,9,September,Ebonyi,South East,1055.09
2025-10-01,2025,10,October,Ebonyi,South East,1036.99
2025-11-01,2025,11,November,Ebonyi,South East,1062.08
2025-12-01,2025,12,December,Ebonyi,South East,1044.03
2026-01-01,2026,1,January,Ebonyi,South East,1065.85
2026-02-01,2026,2,February,Ebonyi,South East,1095.66
2026-03-01,2026,3,March,Ebonyi,South East,1287.93
2026-04-01,2026,4,April,Ebonyi,South East,1537.48
2024-11-01,2024,11,November,Edo,South South,1187.61
2024-12-01,2024,12,December,Edo,South South,1142.4
2025-01-01,2025,1,January,Edo,South South,1146.0
2025-02-01,2025,2,February,Edo,South South,1280.0
2025-03-01,2025,3,March,Edo,South South,1256.61
2025-04-01,2025,4,April,Edo,South South,1283.24
2025-05-01,2025,5,May,Edo,South South,1020.0
2025-06-01,2025,6,June,Edo,South South,1020.0
2025-07-01,2025,7,July,Edo,South South,1020.0
2025-08-01,2025,8,August,Edo,South South,920.82
2025-09-01,2025,9,September,Edo,South South,920.91
2025-10-01,2025,10,October,Edo,South South,1030.05
2025-11-01,2025,11,November,Edo,South South,1041.23
2025-12-01,2025,12,December,Edo,South South,1029.78
2026-01-01,2026,1,January,Edo,South South,1029.45
2026-02-01,2026,2,February,Edo,South South,1055.34
2026-03-01,2026,3,March,Edo,South South,1315.08
2026-04-01,2026,4,April,Edo,South South,1595.74
2024-11-01,2024,11,November,Ekiti,South West,1182.38
